tracker_id,dB,year,month,day,hour,minute,second,distance
F4:B8:5E:C4:56:22,-78,2015,12,21,14,15,11,
F4:B8:5E:C4:56:22,-65,2015,12,21,14,20,18,
F4:B8:5E:C4:56:22,-65,2015,12,21,14,20,28,
F4:B8:5E:C4:56:22,-68,2015,12,21,14,20,38,
F4:B8:5E:C4:56:22,-68,2015,12,21,14,20,49,
F4:B8:5E:C4:56:22,-68,2015,12,21,14,20,59,
F4:B8:5E:C4:56:22,-65,2015,12,21,14,21,10,
F4:B8:5E:C4:56:22,-65,2015,12,21,14,21,20,
F4:B8:5E:C4:56:22,-68,2015,12,21,14,21,51,
F4:B8:5E:C4:56:22,-65,2015,12,21,14,22,1,
F4:B8:5E:C4:56:22,-68,2015,12,21,14,22,11,
F4:B8:5E:C4:56:22,-68,2015,12,21,14,22,21,
F4:B8:5E:C4:56:22,-65,2015,12,21,14,22,32,
F4:B8:5E:C4:56:22,-68,2015,12,21,14,22,42,
F4:B8:5E:C4:56:22,-65,2015,12,21,14,22,52,
F4:B8:5E:C4:56:22,-65,2015,12,21,14,23,2,
F4:B8:5E:C4:56:22,-68,2015,12,21,14,23,12,
F4:B8:5E:C4:56:22,-62,2015,12,21,14,23,22,
F4:B8:5E:C4:56:22,-65,2015,12,21,14,23,33,
F4:B8:5E:C4:56:22,-65,2015,12,21,14,23,43,
F4:B8:5E:C4:56:22,-68,2015,12,21,14,23,54,
F4:B8:5E:C4:56:22,-65,2015,12,21,14,24,4,
F4:B8:5E:C4:56:22,-68,2015,12,21,14,24,14,
F4:B8:5E:C4:56:22,-65,2015,12,21,14,24,24,
F4:B8:5E:C4:56:22,-59,2015,12,21,14,24,34,
F4:B8:5E:C4:56:22,-65,2015,12,21,14,24,44,
F4:B8:5E:C4:56:22,-65,2015,12,21,14,24,54,
F4:B8:5E:C4:56:22,-68,2015,12,21,14,25,4,
F4:B8:5E:C4:56:22,-68,2015,12,21,14,25,14,
F4:B8:5E:C4:56:22,-65,2015,12,21,14,25,24,
F4:B8:5E:C4:56:22,-68,2015,12,21,14,25,35,
F4:B8:5E:C4:56:22,-68,2015,12,21,14,25,46,
F4:B8:5E:C4:56:22,-66,2015,12,21,14,25,56,
F4:B8:5E:C4:56:22,-65,2015,12,21,14,26,6,
F4:B8:5E:C4:56:22,-77,2015,12,21,14,26,16,
F4:B8:5E:C4:56:22,-73,2015,12,21,14,26,26,
F4:B8:5E:C4:56:22,-66,2015,12,21,14,26,36,
F4:B8:5E:C4:56:22,-83,2015,12,21,14,26,46,
F4:B8:5E:C4:56:22,-81,2015,12,21,14,26,56,
F4:B8:5E:C4:56:22,-70,2015,12,21,14,27,7,
F4:B8:5E:C4:56:22,-77,2015,12,21,14,27,17,
F4:B8:5E:C4:56:22,-69,2015,12,21,14,27,28,
F4:B8:5E:C4:56:22,-89,2015,12,21,14,39,1,
F4:B8:5E:C4:56:22,-90,2015,12,21,14,39,12,
68:9E:19:11:A6:DB,-83,2015,12,21,14,40,6,
68:9E:19:11:A6:DB,-78,2015,12,21,14,40,16,
F4:B8:5E:C4:56:22,-89,2015,12,21,14,40,26,
68:9E:19:11:A6:DB,-76,2015,12,21,14,40,26,
F4:B8:5E:C4:56:22,-84,2015,12,21,14,40,36,
68:9E:19:11:A6:DB,-68,2015,12,21,14,40,36,
F4:B8:5E:C4:56:22,-68,2015,12,21,14,40,46,
68:9E:19:11:A6:DB,-70,2015,12,21,14,40,46,
68:9E:19:11:A6:DB,-81,2015,12,21,14,40,56,
68:9E:19:11:A6:DB,-68,2015,12,21,14,41,6,
F4:B8:5E:C4:56:22,-78,2015,12,21,14,41,36,
F4:B8:5E:C4:56:22,-75,2015,12,21,14,41,47,
F4:B8:5E:C4:56:22,-68,2015,12,21,14,41,57,
68:9E:19:11:A6:DB,-64,2015,12,21,14,41,57,
68:9E:19:11:A6:DB,-69,2015,12,21,14,42,7,0
68:9E:19:11:A6:DB,-69,2015,12,21,14,42,17,0
68:9E:19:11:A6:DB,-73,2015,12,21,14,42,28,0
68:9E:19:11:A6:DB,-68,2015,12,21,14,42,38,0
68:9E:19:11:A6:DB,-71,2015,12,21,14,42,49,0
68:9E:19:11:A6:DB,-65,2015,12,21,14,42,59,0
68:9E:19:11:A6:DB,-71,2015,12,21,14,43,9,0
68:9E:19:11:A6:DB,-76,2015,12,21,14,43,19,0
68:9E:19:11:A6:DB,-71,2015,12,21,14,43,29,0
68:9E:19:11:A6:DB,-65,2015,12,21,14,43,39,0
68:9E:19:11:A6:DB,-72,2015,12,21,14,43,49,0
68:9E:19:11:A6:DB,-66,2015,12,21,14,43,59,0
68:9E:19:11:A6:DB,-72,2015,12,21,14,44,9,0
68:9E:19:11:A6:DB,-68,2015,12,21,14,44,20,0
68:9E:19:11:A6:DB,-65,2015,12,21,14,44,31,0
68:9E:19:11:A6:DB,-72,2015,12,21,14,44,42,0
68:9E:19:11:A6:DB,-71,2015,12,21,14,44,53,0
68:9E:19:11:A6:DB,-72,2015,12,21,14,45,4,0
68:9E:19:11:A6:DB,-71,2015,12,21,14,45,15,0
68:9E:19:11:A6:DB,-65,2015,12,21,14,45,26,0
68:9E:19:11:A6:DB,-68,2015,12,21,14,45,36,0
68:9E:19:11:A6:DB,-72,2015,12,21,14,45,47,0
68:9E:19:11:A6:DB,-65,2015,12,21,14,45,58,0
68:9E:19:11:A6:DB,-65,2015,12,21,14,46,8,0
68:9E:19:11:A6:DB,-70,2015,12,21,14,46,18,0
68:9E:19:11:A6:DB,-70,2015,12,21,14,46,28,0
68:9E:19:11:A6:DB,-73,2015,12,21,14,46,38,0
68:9E:19:11:A6:DB,-71,2015,12,21,14,46,48,0
68:9E:19:11:A6:DB,-69,2015,12,21,14,46,59,0
68:9E:19:11:A6:DB,-70,2015,12,21,14,47,9,6
68:9E:19:11:A6:DB,-87,2015,12,21,14,47,19,6
68:9E:19:11:A6:DB,-92,2015,12,21,14,47,30,6
68:9E:19:11:A6:DB,-95,2015,12,21,14,47,40,6
68:9E:19:11:A6:DB,-93,2015,12,21,14,48,0,6
68:9E:19:11:A6:DB,-89,2015,12,21,14,48,10,6
68:9E:19:11:A6:DB,-92,2015,12,21,14,48,30,6
68:9E:19:11:A6:DB,-91,2015,12,21,14,48,40,6
68:9E:19:11:A6:DB,-93,2015,12,21,14,48,51,6
68:9E:19:11:A6:DB,-87,2015,12,21,14,49,1,6
68:9E:19:11:A6:DB,-94,2015,12,21,14,49,11,6
68:9E:19:11:A6:DB,-94,2015,12,21,14,49,21,6
68:9E:19:11:A6:DB,-88,2015,12,21,14,49,41,6
68:9E:19:11:A6:DB,-88,2015,12,21,14,49,51,6
68:9E:19:11:A6:DB,-90,2015,12,21,14,50,1,6
68:9E:19:11:A6:DB,-92,2015,12,21,14,50,11,6
68:9E:19:11:A6:DB,-91,2015,12,21,14,50,21,6
68:9E:19:11:A6:DB,-94,2015,12,21,14,50,32,6
68:9E:19:11:A6:DB,-90,2015,12,21,14,50,43,6
68:9E:19:11:A6:DB,-90,2015,12,21,14,50,54,6
68:9E:19:11:A6:DB,-89,2015,12,21,14,51,4,6
68:9E:19:11:A6:DB,-95,2015,12,21,14,51,15,6
68:9E:19:11:A6:DB,-80,2015,12,21,14,51,36,6
68:9E:19:11:A6:DB,-86,2015,12,21,14,53,28,6
68:9E:19:11:A6:DB,-78,2015,12,21,14,53,39,6
68:9E:19:11:A6:DB,-80,2015,12,21,14,53,49,6
68:9E:19:11:A6:DB,-74,2015,12,21,14,53,59,6
68:9E:19:11:A6:DB,-88,2015,12,21,14,54,9,6
68:9E:19:11:A6:DB,-78,2015,12,21,14,54,20,6
F4:B8:5E:C4:56:22,-84,2015,12,21,14,54,31,6
68:9E:19:11:A6:DB,-90,2015,12,21,14,54,31,6
F4:B8:5E:C4:56:22,-85,2015,12,21,14,54,42,6
68:9E:19:11:A6:DB,-80,2015,12,21,14,54,42,6
68:9E:19:11:A6:DB,-94,2015,12,21,14,55,13,6
68:9E:19:11:A6:DB,-90,2015,12,21,14,55,23,6
F4:B8:5E:C4:56:22,-88,2015,12,21,14,55,33,6
68:9E:19:11:A6:DB,-79,2015,12,21,14,55,33,6
F4:B8:5E:C4:56:22,-93,2015,12,21,14,55,44,6
68:9E:19:11:A6:DB,-90,2015,12,21,14,55,44,6
F4:B8:5E:C4:56:22,-94,2015,12,21,14,56,15,12
